recipe_id,calories,protein
9660,180,6
9965,350,8
10148,280,7
9622,220,5
9790,220,12
9621,230,5
9798,150,9
10114,250,18
9921,350,7
5551,350,25
5867,180,3
5766,150,1
5701,320,30
5999,280,30
5385,150,15
6252,150,20
5688,280,18
5707,150,25
5899,150,5
3038,320,22
2521,320,18
3143,450,28
2526,550,35
2854,220,2
2808,180,6
2821,250,2
2629,290,25
2916,80,0
2816,250,4
6703,30,1
7217,450,28
7222,220,4
6793,220,6
7204,380,7
6753,250,20
7215,350,25
6935,280,30
7266,210,30
6353,180,25
1118,180,4
662,350,18
371,550,30
752,200,7
384,550,30
911,160,0
461,450,35
740,250,5
1071,550,35
367,550,25
1239,120,3
1241,220,6
2015,150,2
1680,120,3
2069,330,18
1473,550,35
2074,450,30
2082,350,30
1747,450,18
1736,350,12
7447,450,45
7431,450,50
7434,450,40
7432,450,38
7433,450,35
7441,480,40
7425,550,45
7444,450,40
7428,450,40
7448,450,35
3321,650,35
3357,350,22
3745,420,22
4041,250,4
4120,320,3
4255,350,15
3459,350,12
3750,320,12
3554,350,35
4131,80,2
9006,90,2
8771,45,1
9066,30,0
8977,110,0
8858,240,6
8474,450,30
8310,250,14
8645,350,30
8784,200,12
8409,450,20
4798,180,20
5018,250,4
5017,280,6
5277,450,25
5239,180,2
4606,350,35
4823,180,4
4829,180,4
4831,180,4
5000,300,6
9645,320,15
9815,350,12
9678,350,28
9907,300,8
10174,200,3
9832,450,28
9863,320,13
10079,450,20
10109,220,15
9844,350,25
5782,220,12
6088,180,12
6206,320,10
5591,350,35
5918,280,6
5307,250,8
5935,320,8
5997,450,30
5746,450,28
6106,120,15
3127,50,8
3103,15,0
2923,30,1
3108,60,1
2919,150,2
2633,350,30
2287,350,30
2281,420,30
2283,350,25
3112,45,1
6844,350,25
6770,350,28
6651,80,0
6729,220,10
6934,280,35
6383,180,8
6528,310,25
6532,350,12
6814,410,25
7091,450,30
928,380,6
684,350,10
313,700,35
983,240,6
802,200,4
271,550,25
1009,160,3
840,150,5
390,350,25
40,650,35
2076,350,40
2075,180,7
1304,450,40
2066,550,35
2011,250,4
1491,550,45
1939,150,1
1733,250,10
1817,180,7
1258,180,12
7453,550,45
7440,480,38
7430,550,45
7426,520,45
7429,650,55
7449,450,38
7442,450,38
7306,150,8
7822,180,3
7415,90,3
3634,480,42
3888,90,2
4162,110,3
3757,120,3
3775,150,6
3526,160,5
3928,180,12
3835,110,6
3997,320,6
4274,300,6
8916,180,4
8608,250,30
8932,220,4
9003,350,6
9176,220,6
9058,5,1
8934,120,2
8260,90,7
8756,15,1
8560,320,28
4828,250,8
4826,550,35
4835,220,5
4833,220,6
4825,180,4
4824,180,4
4827,180,4
4805,450,35
5016,150,5
4643,420,45
9628,450,35
9870,280,14
9994,320,35
9276,320,35
10055,320,35
9686,180,6
9303,120,20
10176,230,6
9830,180,4
9643,350,18
5450,60,3
5399,150,6
6195,450,35
5698,180,15
6274,300,6
5502,450,30
5479,550,30
6003,550,30
5490,520,38
6076,550,35
2903,30,0
3014,350,25
2873,350,6
2819,250,3
3084,120,1
2932,350,10
2850,120,1
2813,320,4
2830,150,3
3109,210,6
6305,550,35
6438,210,5
6771,350,35
6733,450,20
6783,220,6
6761,320,7
6849,420,28
6961,320,18
6912,180,10
990,110,0
925,120,0
929,120,0
814,320,3
898,80,0
768,350,12
722,250,5
3,700,40
97,250,12
96,450,50
1737,350,18
1619,250,6
1454,550,60
2197,400,6
1320,450,38
1512,220,35
1433,320,38
1986,150,5
1949,350,6
1741,550,25
7713,280,14
7733,350,12
7856,300,8
8147,450,25
8220,650,45
7636,550,40
7635,350,40
8158,550,45
8151,450,35
7622,250,20
4243,450,35
3653,450,35
3649,220,18
4024,130,3
3742,320,8
4145,450,30
3927,250,14
4248,320,30
3712,250,20
3852,180,6
8618,180,12
8778,220,15
9213,350,20
8507,180,22
8290,150,5
8941,220,5
8981,250,6
9024,90,3
8815,520,22
8849,350,15
4675,450,40
4651,550,45
5027,180,7
5028,150,0
5035,180,1
5038,150,1
4914,180,5
4918,150,1
4917,180,4
5244,150,3
10073,350,12
10094,550,30
9709,320,18
10035,220,25
10044,450,45
9422,450,35
9389,550,55
9393,350,25
9385,350,35
9431,650,45
5482,450,30
5487,450,35
5504,450,30
6256,350,20
5492,350,25
5488,450,35
5512,450,30
5686,480,35
5484,480,28
5480,650,45
2826,180,3
3216,150,2
2934,150,2
2404,450,25
2811,430,5
2834,150,5
2513,250,15
2907,15,1
2852,230,3
2861,120,1
6763,350,30
7152,260,3
6701,220,10
6799,220,10
6674,350,6
6757,350,6
6825,320,25
7104,60,0
6684,150,1
7110,60,1
87,450,40
54,250,14
63,550,45
67,450,35
80,480,35
71,280,25
103,480,30
608,450,35
53,350,35
219,450,35
2180,450,18
1987,150,5
1281,350,40
1262,550,45
1234,250,25
1305,550,45
1266,450,40
1276,450,40
1309,350,35
1275,450,35
8235,150,3
8031,90,7
7268,180,18
7612,320,45
7608,350,30
7613,350,25
7971,250,4
7745,450,40
7827,250,10
7665,280,25
4179,20,0
4199,90,0
3295,550,18
3898,200,12
4265,180,10
3511,320,15
3616,450,40
3743,250,23
3638,280,26
3643,450,38
8710,280,30
8332,450,35
8730,150,25
9130,120,20
8949,410,7
9121,250,18
8335,280,20
8745,15,0
9020,320,4
9170,220,18
4916,150,4
4882,100,2
5268,220,14
5235,350,30
5185,450,30
5184,650,45
5291,350,30
4763,350,40
5113,180,2
4935,200,6
9395,550,45
9407,250,30
9405,210,25
9416,450,28
9411,480,38
9423,350,28
9438,350,35
9436,650,38
9392,350,35
9420,450,45
5513,450,30
5507,320,10
5496,350,12
5498,250,6
5824,310,7
5954,320,6
5521,350,25
5494,650,40
5501,250,5
5590,550,40
2983,120,12
2952,250,5
2299,280,8
3200,450,35
2300,220,6
2962,280,8
2982,280,6
2402,350,28
2273,450,35
2984,320,25
6969,350,28
6612,180,1
6989,450,18
6842,320,25
6527,110,3
7025,240,5
6394,180,4
7061,320,28
7031,150,3
7218,320,4
57,320,28
77,650,35
100,750,65
82,550,35
91,450,25
65,350,30
62,350,45
84,250,5
107,720,38
122,450,40
1348,350,35
1294,550,45
1341,450,35
1279,350,35
1272,750,50
1284,350,30
1301,220,28
1264,350,50
1298,450,45
1313,350,30
7714,450,18
7391,280,12
7627,220,30
7732,350,30
7728,520,28
7473,450,38
7742,550,35
7674,150,9
7743,480,20
7723,220,6
3618,250,28
3365,450,15
4176,120,1
3290,350,15
4030,120,2
4021,150,4
4067,350,6
3542,750,70
3448,450,25
4086,120,1
8945,290,6
8958,220,7
8911,220,5
8578,280,28
8475,450,35
8509,350,35
8570,450,25
8672,350,25
8603,320,25
9235,350,20
5101,150,4
4440,250,30
4976,450,35
4611,450,45
4970,450,45
4571,450,30
5211,450,45
5270,650,38
4595,450,18
4513,300,10
9443,320,25
9396,450,40
9419,450,40
9397,600,50
9417,650,45
9429,550,50
10043,550,45
9409,450,38
9446,480,40
9414,450,35
6259,450,35
5510,350,25
5493,380,25
5503,250,6
5519,350,15
5511,650,35
5509,450,18
5477,450,30
5497,320,12
5483,520,30
2295,90,7
2530,90,6
2306,120,10
2292,120,12
2294,90,6
2293,90,7
2289,90,6
2297,150,15
3231,150,8
2276,450,35
7207,500,20
7071,150,6
6393,150,4
7141,320,8
6463,90,2
7065,120,2
7251,280,6
7150,90,1
6768,180,2
6976,180,9
98,650,40
952,60,1
492,320,25
105,320,25
276,450,20
51,550,45
4,700,40
629,450,25
278,450,25
357,650,30
1297,450,35
1397,420,40
1675,80,2
1193,90,2
1218,180,7
2030,110,1
2135,320,5
2086,120,8
2027,150,1
1781,380,12
7967,120,1
7746,450,18
7649,220,25
7883,350,6
7943,550,12
8012,350,6
7934,350,6
7939,320,5
7938,320,5
8050,50,0
3628,350,40
3553,450,40
4138,450,30
3482,520,22
4042,350,6
4006,280,7
3530,280,15
3902,220,13
3834,80,3
3851,60,2
8441,500,30
8289,180,12
8303,180,9
8705,90,2
8329,250,10
9128,180,5
8930,220,6
8349,350,15
8887,450,25
8455,350,9
4558,280,10
4652,350,30
4979,450,35
4642,350,35
4444,550,35
4653,350,30
4978,350,35
4655,450,35
4570,350,25
4629,320,35
10157,450,35
9426,450,35
9440,450,40
9410,450,40
9402,320,28
9424,550,45
10156,450,45
9390,420,35
9391,350,30
10037,650,45
5481,450,30
5476,420,30
5514,280,6
5515,350,18
5474,450,25
5491,480,25
5723,180,10
6185,650,55
5354,180,12
5784,180,12
3134,450,30
3048,550,35
2290,320,30
3118,220,10
2296,320,5
3232,320,12
2275,320,25
2286,380,28
2305,450,25
6565,70,4
6614,280,3
6467,120,3
7115,150,4
7167,320,8
7119,320,6
7126,180,3
6430,350,18
6302,450,35
6920,320,35
272,250,8
274,200,8
724,450,22
727,310,10
533,300,15
345,220,35
354,450,20
230,350,35
317,350,34
770,180,2
1476,350,15
1823,270,5
1517,250,30
2148,320,5
1854,210,4
1977,220,7
1662,120,3
1991,110,2
1550,280,30
1506,350,35
7705,150,4
7863,120,3
7290,120,3
8215,120,2
7611,250,28
7607,250,30
7294,220,7
7769,220,10
8045,150,5
7513,480,40
3683,280,30
3584,380,40
3677,180,25
3647,250,35
3550,480,45
3740,180,22
3565,180,15
3954,320,7
3829,60,3
3889,70,4
8364,480,30
8599,450,35
9090,450,35
8286,90,3
8376,600,30
9229,320,18
8844,450,30
8553,320,15
9238,180,12
8837,450,32
4649,320,28
4616,350,35
4646,550,40
4641,350,30
5081,290,6
5092,150,3
5105,290,3
5202,650,60
4331,480,45
4328,450,45
9434,450,35
9413,450,30
9706,450,35
9444,450,35
9404,420,32
10042,450,38
9388,550,35
10045,380,20
9408,420,38
9421,450,40
5965,300,6
6059,350,22
5650,230,40
5565,650,45
5627,280,28
5977,350,30
5624,480,35
5629,250,30
5625,280,35
6140,350,35
2307,350,25
3189,320,6
2274,320,25
2272,180,5
3012,320,30
2284,350,25
2282,550,38
2304,450,30
3001,480,35
2291,280,20
6943,320,35
6940,350,34
6919,350,35
6396,180,12
6630,350,6
7151,250,5
6681,300,4
6367,320,35
6922,280,35
6360,220,25
363,550,30
409,450,20
157,450,40
141,450,40
414,550,30
159,350,28
421,550,35
1053,450,35
1057,550,35
380,550,35
413,500,30
2157,350,6
1316,450,40
1500,350,40
1863,320,8
1273,480,45
1269,450,45
1303,450,40
1635,90,3
1634,90,1
1663,80,2
7504,450,28
7501,350,35
7495,550,45
7511,380,35
7506,550,35
7508,320,30
7488,420,30
7489,350,35
7817,45,2
7412,210,6
3696,280,30
3609,350,35
3541,280,30
3514,120,10
3510,60,6
4003,150,3
3735,150,4
3797,220,7
3732,150,3
3881,140,7
8549,350,28
8523,450,38
8522,450,30
8830,380,28
8826,280,35
8614,280,22
8417,450,15
8649,150,10
8624,180,12
8581,250,22
4329,450,45
4624,350,35
4623,350,40
4621,350,30
4625,450,40
4320,220,14
5085,250,5
4847,60,2
5033,120,0
4890,350,25
9717,450,35
9649,50,5
10096,550,45
9461,450,40
10040,320,28
10041,350,30
10113,220,8
9328,450,30
9878,450,30
9364,450,38
5626,350,28
5631,250,30
5634,450,35
6110,450,45
5628,350,30
5704,320,35
5630,350,30
5978,350,40
5647,250,35
5640,220,30
2941,250,25
2279,350,30
2960,320,5
2956,250,5
2288,450,30
3069,450,30
2280,520,25
3230,520,30
2998,450,35
2303,350,35
6951,350,30
6946,280,32
6941,280,25
6380,320,25
6950,320,30
6364,350,25
6369,220,30
6952,320,30
7214,280,12
6949,350,25
119,450,50
449,450,25
1058,650,50
154,650,45
311,450,30
76,450,50
172,450,40
1006,350,6
1110,350,8
705,350,8
1468,350,35
1445,650,45
1274,450,40
1477,550,45
1495,450,38
1425,350,45
1412,450,40
2061,350,40
1487,450,35
1542,350,30
7494,450,30
7498,350,25
7818,280,13
7848,210,6
7671,400,40
7753,400,25
7894,450,8
7999,320,6
7756,350,7
7786,400,18
4280,90,3
4023,110,3
4208,550,25
3246,520,20
4001,320,6
3803,350,20
3805,350,14
3737,280,12
3288,450,15
4284,90,1
8795,120,7
9196,350,8
9015,120,2
8333,450,30
8892,520,35
9215,290,5
9210,650,45
8456,500,30
8953,120,2
8713,220,20
4932,350,15
5100,150,3
4598,450,28
4599,900,40
4928,250,5
5047,320,6
5243,250,5
5003,250,5
4972,480,55
4973,450,55
10028,550,40
10027,450,40
9366,450,40
10111,160,7
10084,180,10
9617,350,15
10128,450,25
9729,450,25
9954,300,5
9945,190,4
5692,180,24
5645,280,40
6244,450,35
5715,280,40
6257,280,6
5705,320,35
5659,350,35
5646,280,40
5394,40,1
6178,650,35
3233,350,30
3060,350,30
3195,450,30
3222,120,15
2301,350,20
3037,280,20
3226,180,20
2267,220,25
2269,150,5
3131,320,28
6929,450,35
6979,180,25
6391,120,3
6939,250,30
6501,220,10
6354,450,35
6732,150,3
6801,250,8
6776,220,6
7002,180,5
1126,120,1
915,120,1
23,330,20
1030,550,45
720,550,20
21,350,30
932,2,0
530,350,20
884,320,5
540,320,4
1417,350,35
2103,550,45
1833,350,6
1876,90,1
1808,320,9
1873,80,1
1874,250,3
1453,450,45
1578,230,20
1864,350,9
7347,320,12
7348,400,16
7457,650,45
7692,180,4
7794,180,4
7519,300,30
7828,120,8
7808,180,4
7298,90,3
8053,45,1
4149,200,1
4141,150,5
3522,250,12
3496,350,30
3695,350,35
3251,450,18
4169,60,1
4166,150,8
4293,150,8
4292,80,1
8267,210,5
8835,350,30
8294,180,15
8999,300,4
8864,220,5
8819,350,25
8273,180,3
8627,350,30
8419,350,20
8682,350,12
4974,450,45
5194,220,8
4921,60,1
5006,200,5
4858,120,5
4854,120,3
5043,180,2
4795,250,35
5229,180,2
5071,150,0
10141,420,5
9916,320,5
9917,380,6
10136,320,5
9915,350,6
10175,350,6
9914,400,8
9412,450,45
9432,450,40
9445,520,45
6090,180,4
5834,320,6
6044,320,6
5984,520,10
6190,320,18
6275,180,5
6258,200,3
5337,450,35
6031,500,40
5644,450,40
2264,250,20
2266,320,25
3186,350,30
2298,220,6
2762,480,35
2641,350,30
2696,350,35
3064,550,45
2352,320,35
3011,520,35
6695,350,15
6982,120,3
6474,90,4
6772,450,33
6446,220,4
6966,320,30
6282,450,25
6974,180,10
6489,180,4
7256,180,2
483,350,45
315,280,30
479,300,35
306,200,25
831,250,3
921,120,2
17,650,35
956,120,4
872,320,3
731,180,3
1945,350,9
1679,90,4
2000,90,1
1307,180,6
1296,400,35
1170,180,12
1558,400,35
1669,140,3
1683,90,1
1996,320,5
8146,350,18
8209,180,9
8211,350,25
8248,480,38
7297,120,3
7718,280,13
7302,180,7
7832,150,5
7299,180,4
7982,300,5
4167,15,1
4171,40,1
4270,350,18
3983,550,28
3377,450,30
3673,250,25
3680,280,30
3598,250,28
3403,650,30
3972,450,18
8472,250,5
8384,480,15
8285,250,12
8947,150,3
8975,250,2
8300,90,6
8689,80,2
8912,150,3
8269,10,2
8536,150,10
4648,350,35
4352,420,38
4304,200,25
4336,250,20
4307,220,25
4302,220,28
4335,180,25
4298,250,25
4334,90,4
4303,350,30
10182,350,35
10054,520,45
10064,520,38
9541,450,40
10122,70,2
10001,280,35
9850,110,2
9650,350,18
10188,150,5
9470,350,35
6131,320,45
6048,350,35
5877,320,7
6085,350,8
5957,320,7
5368,320,12
6042,450,25
6228,250,10
5672,450,45
6105,350,35
2350,450,35
2353,420,35
2351,320,35
2393,310,35
2354,350,35
2355,280,30
3152,350,30
2623,450,35
2664,450,40
2626,350,35
6425,350,7
7160,150,2
6717,180,4
7224,350,20
7211,250,16
6810,280,12
6654,350,6
6805,210,6
7210,650,60
7070,90,1
690,280,7
810,320,3
405,350,25
176,250,30
1026,450,7
484,320,15
480,280,16
215,450,35
901,150,0
823,320,3
1421,350,45
1422,250,30
2201,100,3
2125,450,35
2077,450,35
1894,25,0
1745,450,12
1956,350,5
2022,280,1
1753,250,6
7751,350,14
7867,180,6
7792,450,18
7740,300,20
7573,450,45
7563,420,35
7576,550,45
7593,320,22
7585,420,35
7587,480,35
3304,520,22
3292,320,15
3900,250,12
3309,520,32
3310,450,22
3994,350,8
4156,80,1
3746,150,3
3846,180,3
3350,350,20
9239,150,10
9147,120,10
9182,120,8
8841,600,35
8510,220,16
9041,90,4
9166,150,2
8920,250,6
8461,550,30
8342,450,20
4808,230,30
4338,180,25
4311,250,30
4305,280,30
4308,220,18
4819,230,28
4773,220,25
4806,210,24
4810,250,30
4779,320,25
9351,350,30
9938,110,2
9722,200,5
9759,350,12
9608,250,8
9699,350,20
10170,150,7
9671,150,9
9853,320,18
9919,210,4
5655,280,30
5656,250,40
5375,150,18
5381,200,15
5996,120,4
5922,220,3
6013,450,25
5544,450,45
6242,450,40
5894,280,6
2620,320,45
2622,450,40
2969,350,35
2901,70,1
2684,250,30
3022,350,25
2673,350,25
2367,210,25
2373,280,28
2365,220,25
6421,350,12
6866,250,30
7223,180,4
7187,78,6
6748,350,30
6785,250,35
7203,350,25
6557,320,28
6688,350,12
6426,450,18
1690,70,1
1467,450,30
2090,320,12
1670,350,15
2196,350,6
1905,350,6
1897,80,
1731,180,6
1642,90,2
1464,650,45
7763,420,30
7564,280,35
7562,450,35
7596,350,30
7568,350,35
7565,320,38
7588,420,35
7597,320,38
7598,410,38
7592,350,35
4165,80,5
3733,250,14
3909,250,12
3768,150,8
3396,650,28
4135,560,25
4235,250,25
3523,120,3
3848,90,1
3948,150,4
8449,350,25
8457,350,18
8465,450,25
8542,350,20
8899,550,30
8847,450,22
8885,650,35
8822,360,25
8552,280,20
8313,120,15
4781,220,30
4776,250,25
4862,180,2
5044,220,2
5030,280,2
4800,150,18
5097,320,4
5205,350,30
5272,280,9
5002,350,8
9670,180,6
9823,70,3
9577,350,20
9598,180,4
9806,80,2
9700,350,30
9655,120,3
9574,250,15
9885,350,12
9311,350,30
5623,450,30
5353,220,12
5430,280,18
5800,550,20
5679,250,25
6261,150,8
5582,450,25
5570,300,18
5407,280,18
5892,280,18
2366,250,22
2675,280,25
3008,350,35
3063,250,30
2736,220,18
2674,250,20
2672,280,25
2671,250,25
3229,350,30
2232,550,35
6529,320,15
6987,350,12
7107,150,4
6693,180,12
7023,250,7
7057,320,15
6962,150,5
7026,520,28
6977,150,5
6434,180,5
255,650,50
146,550,45
735,180,4
1107,180,4
269,450,20
867,280,7
495,450,9
973,45,1
231,350,30
29,700,40
1875,180,3
1631,320,15
1646,180,3
1182,150,2
1918,110,1
2034,90,1
2133,110,2
1703,150,3
1738,550,20
1210,250,7
7578,450,35
7595,320,35
7580,450,35
7583,450,35
7577,400,35
7571,320,35
7686,420,35
7603,360,35
7584,280,35
7558,350,35
4268,120,3
4037,450,7
3305,450,35
3963,450,20
3395,550,30
4118,320,12
4072,350,9
3998,350,9
4116,450,10
4050,220,5
8636,220,18
8675,220,15
9105,350,12
8690,120,12
8306,120,8
9091,350,25
8295,120,8
9192,350,15
8353,350,15
8893,600,30
5251,350,8
5079,320,6
4607,320,35
4597,650,40
4632,450,35
4614,480,38
4638,320,28
4613,450,35
4639,320,30
4610,350,35
9695,350,35
9668,220,30
10161,250,12
9897,150,10
9962,320,8
9977,90,1
10153,250,6
9852,180,6
9601,250,5
9795,80,1
5827,220,5
5860,250,5
6139,300,6
6148,280,6
5529,420,55
5528,350,40
5558,650,50
5960,650,50
5729,250,15
5376,350,25
2239,450,35
2235,520,32
2236,280,4
2234,320,18
2233,450,28
2285,320,25
3160,380,15
2845,180,2
2972,350,20
2912,90,1
6719,320,25
7120,450,8
6744,250,4
6791,320,6
7232,550,35
7181,280,7
7014,250,4
7124,320,6
6337,320,25
6888,250,25
417,520,28
748,350,20
609,450,25
686,300,17
268,250,15
416,450,25
400,450,24
801,300,15
292,250,25
828,280,4
1712,350,20
1209,250,8
1175,280,15
1920,300,3
1809,280,8
1803,320,5
1944,180,3
1647,210,4
1158,250,5
1255,180,25
7579,280,35
7560,450,38
7572,320,40
7575,350,35
7590,450,35
7411,230,9
7295,220,10
7725,350,15
8097,320,6
7937,320,5
4040,320,6
3892,320,15
3515,180,6
4052,250,5
3311,550,25
3289,350,25
3979,180,7
4100,280,7
4109,220,7
4106,320,5
8956,110,2
8852,250,4
8585,180,8
8605,320,35
9150,250,35
8735,120,25
9089,320,22
8616,45,2
8746,35,1
8655,450,25
4984,450,38
4330,450,38
4612,350,35
4644,320,35
4706,450,30
4654,450,35
4705,550,45
5214,350,10
5218,350,12
5219,350,15
9653,120,3
9694,450,35
10085,110,4
9923,250,5
9674,180,4
9797,80,1
9662,85,2
9753,350,18
10163,450,45
10125,180,7
5532,450,40
5327,450,38
5525,450,35
5323,450,38
5325,350,30
6107,450,40
5331,550,45
6038,450,40
6074,450,35
5347,310,28
3026,400,20
3073,400,30
2529,400,30
3139,180,4
3071,350,25
3197,350,25
2683,150,20
2372,250,20
2371,180,20
3072,280,22
6403,220,25
7039,90,6
6815,480,38
7072,250,6
7206,320,9
6779,250,30
6740,320,6
6445,180,3
7076,70,3
7044,90,5
858,550,6
890,120,4
174,320,22
1028,650,45
606,550,35
169,350,30
683,480,35
968,140,
61,450,38
462,600,30
2226,390,38
1383,350,35
1328,450,40
1242,320,35
1370,550,40
1183,220,18
1327,400,35
1326,420,45
1388,450,40
1321,450,35
7951,370,6
7976,150,3
7985,330,6
8199,450,8
8197,420,9
8195,450,50
7851,330,7
7369,250,30
7647,350,30
7370,450,35
4036,330,5
3567,450,45
3575,450,40
3568,550,45
3577,350,40
3645,400,35
3576,320,28
3585,350,30
3571,290,35
3812,280,10
9050,15,1
8469,210,4
8331,320,8
9222,320,25
8794,180,8
8591,220,12
8743,15,
8459,230,4
9072,480,35
8308,180,20
5220,450,18
5286,650,30
5222,180,5
5215,650,12
4863,35,1
4609,250,35
4988,350,25
4590,700,35
4709,450,35
4692,350,30
9738,220,8
9749,300,12
9867,320,18
9871,150,5
9762,220,11
9866,320,15
9873,220,7
9746,260,9
9875,250,18
9868,250,7
5305,350,25
5969,420,28
5575,400,30
5470,450,38
5572,450,35
6073,450,35
6143,450,25
6197,350,6
6010,280,6
6198,550,40
2685,70,7
2377,250,30
2680,350,15
2711,350,20
3009,350,20
2888,280,4
2975,450,40
2612,120,5
3169,160,6
2927,120,2
7008,350,7
7058,350,30
6560,2,
6689,250,14
6451,110,2
7161,450,6
6381,180,5
6495,90,2
6650,350,8
7138,250,6
528,350,20
35,650,35
217,450,35
860,350,5
775,150,3
588,180,4
163,550,45
548,320,5
381,550,22
962,180,4
1214,450,35
1395,450,40
1324,350,40
1376,320,35
1384,320,40
1385,380,35
1390,450,45
1333,450,40
1329,450,35
1331,350,30
7366,220,30
7368,280,35
7646,200,35
7997,350,5
7983,320,6
8066,90,2
7658,180,20
8204,320,4
8208,60,2
8205,280,30
3787,200,8
3516,250,12
3903,280,12
3860,70,2
4017,280,4
4289,350,6
4074,350,5
3946,210,7
3838,180,4
3381,350,15
8660,120,2
8607,280,20
8700,90,2
8418,240,4
8792,150,5
8676,80,4
9044,90,3
8466,310,6
8408,450,25
9141,300,20
4811,180,20
4765,150,25
4767,150,20
4768,180,25
4766,150,20
4532,450,20
4687,550,45
4631,450,35
5037,90,1
4923,200,6
10168,250,12
9872,320,18
9894,320,12
10126,320,15
9959,270,4
9502,650,45
10049,350,40
9506,550,40
10046,420,45
9500,320,40
5783,180,3
6025,600,35
5964,350,6
6116,320,5
6065,350,20
5675,250,30
5615,250,25
6270,320,8
5851,280,6
6133,250,10
2794,120,6
2970,90,2
3130,350,25
2536,30,1
3117,350,32
2949,250,20
2950,150,25
2448,180,9
3196,250,15
2449,280,18
6591,150,4
6661,250,6
6610,220,3
6795,150,2
6581,30,
7234,180,4
7233,350,18
6519,350,15
6444,280,5
6450,450,35
1031,450,8
508,180,12
511,150,7
1086,380,35
494,650,42
397,550,38
499,150,4
473,450,35
509,350,30
2454,250,18
